authorDisplayName,publishedAt,likeCount,textOriginal,textPreprocess
@Letchugo7,2023-07-03T19:52:06Z,0,good song,good song
@AngelMacias-zi2mi,2023-07-03T04:27:13Z,3,Quién  sigue escuchando este temazo en pleno 2023 🔥🔥,Quién  sigue escuchando este temazo en pleno 2023  emoji fuego emoji  emoji fuego emoji
@chrisdd0,2023-07-02T18:15:13Z,9,Qn después de la velada?,Qn después de la velada?
@luisandersonguardiaramirez5383,2023-07-02T09:02:10Z,0,Corazon sensual,Corazon sensual
@Noeliaschmidt2009,2023-07-02T04:03:58Z,1,"Recién me di CUENTA que dice ""El negrito d ojo' claro""","Recién me di CUENTA que dice ""El negrito d ojo' claro"""
@Strobot1234,2023-07-02T03:46:11Z,0,El beat suena chido no lo puedo negar xddd,El beat suena chido no lo puedo negar xddd
@yostinguzman2678,2023-07-02T02:17:55Z,0,tremendo,tremendo
@ABAKI_6666,2023-07-02T00:47:15Z,0,ozuna en su prime,ozuna en su prime
@user-rh6qs6mc5k,2023-07-01T20:57:12Z,0,La mejor cancion,La mejor cancion
@JustinAquilex,2023-07-01T16:29:43Z,0,Y de pensar que Yankee no se monto en este temazo,Y de pensar que Yankee no se monto en este temazo
@neptup6634,2023-07-01T15:39:45Z,0,JAJAJAJA el osito en el 1:59 ya se sabia los belikos xD,JAJAJAJA el osito en el 1:59 ya se sabia los belikos xD
@valen_jopia,2023-07-01T00:46:23Z,0,goooood,goood
@joseflechas1,2023-06-30T23:48:10Z,0,Que melodía tan buena,Que melodía tan buena
@noeljimenez8622,2023-06-30T23:13:51Z,0,PARECE QUE FUE AYER QUE LO ESCUCHÉ 😮,PARECE QUE FUE AYER QUE LO ESCUCHÉ  emoji cara con la boca abierta emoji
@lxvmxri,2023-06-30T20:11:16Z,0,1:02 >>>>>>>>>>>,1:02 >>>
@user-nx8pv8gj6l,2023-06-30T01:18:40Z,1,Ocean deli❤❤❤,Ocean deli
@manolokitpro,2023-06-29T20:58:08Z,0,Siguelo bailando que la música no pare,Siguelo bailando que la música no pare
@solounrobloxianomas8362,2023-06-29T18:11:06Z,0,Yo vine a ver otra vez por new jeans,Yo vine a ver otra vez por new jeans
@cristianalejandro4073,2023-06-28T15:36:35Z,0,Vengo de la entrevista de chente quería escuchar el tema q yankee picho,Vengo de la entrevista de chente quería escuchar el tema q yankee picho
@alastorbv5224,2023-06-28T13:35:57Z,3,"Crei que el regaeton era puro vulgaridades, pero ozuna no toca eso, realmente el mejor de su genero musical, nuevo sub !❤🎉","Crei que el regaeton era puro vulgaridades, pero ozuna no toca eso, realmente el mejor de su genero musical, nuevo sub ! emoji cañón de confeti emoji"
@Carpioduran,2023-06-28T07:31:36Z,1,Es la musica de el meme de spider man,Es la musica de el meme de spider man
@btspavedthewayforall9675,2023-06-28T01:03:29Z,0,eh eh eh,eh eh eh
@ImMiguelhioSC5,2023-06-27T02:39:11Z,4,Por cada corazón sonará este temazo,Por cada corazón sonará este temazo
@pilarjimenez8776,2023-06-26T22:07:35Z,1,Síguelo bailando que la música no pare eeeee💃,Síguelo bailando que la música no pare eee emoji mujer bailando emoji
@amantealk-pop2960,2023-06-26T15:32:29Z,285,Como que ya va a tener 6 años :0 aun recuerdo cuando salio y no puedo creer que ya hayan pasado varios años!!! Tremendo temazo que es ❤,Como que ya va a tener 6 años :0 aun recuerdo cuando salio y no puedo creer que ya hayan pasado varios años!!! Tremendo temazo que es
@nuhuko,2023-06-26T10:54:54Z,1,"bailando una belleza, siguelo bailando que la musica no pare","bailando una belleza, siguelo bailando que la musica no pare"
