,authorDisplayName,publishedAt,likeCount,textOriginal,textPreprocess
0,@elssy72,2024-02-11T03:28:39Z,1,Yo estuve ahi en ese concierto. 🎼🎶😊👏🙏,ahi concierto emoji pentagrama emoji emoji notas musicales emoji emoji cara feliz ojos sonrientes emoji emoji manos aplaudiendo emoji emoji manos oración emoji
1,@the_king5702,2024-02-11T03:10:05Z,0,Medio crossover,medio crossover
2,@alexfernandez4196,2024-02-11T03:07:54Z,0,"Lastimosamente Jesus adrian romero no esta bien con Dios y pues hay que orar por él, que en verdad la Palabra de Verdad lo regenere a traves del Espíritu santo por que lo que se sabe es un católico o alguien que dice adorar a Dios a su manera",lastimosamente jesus adrian romero bien dios pues orar verdad palabra verdad regenere traves espíritu santo sabe católico alguien dice adorar dios manera
3,@user-zw9mx5xn3j,2024-02-11T02:43:01Z,0,"Esta versión de la canción al taller del maestro está muy hermosa,que DIOS los continúe bendiciendo y que siga poniendo esa gracia tan bella que ha puesto en cada uno de ustedes,desde que era pequeña escucho las canciones de Jesús Adrián Romero,de Alex campos y empecé a escuchar las canciones de kim Richards también canta hermoso,en esta canción hubo una combinación perfecta,saludos desde Venezuela.",versión canción taller maestro hermosaque dios continúe bendiciendo siga poniendo gracia tan bella puesto cada ustedesdesde pequeña escucho canciones jesús adrián romerode alex campos empecé escuchar canciones kim richards canta hermosoen canción combinación perfectasaludos venezuela
4,@wendyfierro4304,2024-02-11T02:32:37Z,0,"Kim la destruyo😢, por que cambiarla tanto, o tal vez de eso se trataba.",kim destruyo emoji cara llorando emoji cambiarla tal vez trataba
5,@gamaromero6324,2024-02-11T00:23:57Z,0,Es para que Adrián ya no estuviera colaborando con grandes adoradores,adrián colaborando grandes adoradores
6,@paulapulido5748,2024-02-11T00:09:29Z,0,Yo estuve ahí cuando la interpretaron ❤,ahí interpretaron
7,@delavarliz,2024-02-10T22:24:24Z,1,"Me gusta Lily Goodman 
Siento que Kim fuerza mucho en los altos.....
Bendiciones 😊❤",gusta lily goodman siento kim fuerza altos bendiciones emoji cara feliz ojos sonrientes emoji
8,@adalmttz8969,2024-02-10T22:16:44Z,0,Dios te bendiga alex gracias,dios bendiga alex gracias
9,@MCBO-jj2ps,2024-02-10T18:34:18Z,0,Versiones que necesitaba y no lo sabía:,versiones necesitaba sabía
